region,distributor,counter_type,day_time_type,rate_occurrence,cost_type,,kva_range_low,kva_range_high,amount_eur,amount_eur_tincl,time_of_day_start,time_of_day_end,date_start,date_end
wal,ores_namur,,,annual,management,"Tarif gestion des données/
Activités de mesure et de
comptage/Terme fixe ",,,12.83018868,13.6,,, 2024-01-01, 2024-12-31
wal,ores_namur,,,annual_per_kw,prosumer,Tarif prosumer,,,62.44339623,66.19,,, 2024-01-01, 2024-12-31
wal,ores_verviers,,simple,per_kwh,distribution_simple,Coûts de distribution - Simple,,,0.08556603774,0.0907,,, 2024-01-01, 2024-12-31
wal,ores_verviers,,day,per_kwh,distribution_day,Coûts de distribution - Jour,,,0.0908490566,0.0963,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
wal,ores_verviers,,night,per_kwh,distribution_night,Coûts de distribution - Nuit,,,0.05339622642,0.0566,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
wal,ores_verviers,,night_excl,per_kwh,distribution_night_excl,Coûts de distribution - Exclusif nuit,,,0.04386792453,0.0465,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
wal,ores_verviers,,,per_kwh,transport,Coûts de transport,,,0.02556603774,0.0271,,, 2024-01-01, 2024-12-31
wal,ores_verviers,,,annual,management,"Tarif gestion des données/
Activités de mesure et de
comptage/Terme fixe ",,,12.83018868,13.6,,, 2024-01-01, 2024-12-31
wal,ores_verviers,,,annual_per_kw,prosumer,Tarif prosumer,,,62.44339623,66.19,,, 2024-01-01, 2024-12-31
wal,tecteo_resa,,simple,per_kwh,distribution_simple,Coûts de distribution - Simple,,,0.09311320755,0.0987,,, 2024-01-01, 2024-12-31
wal,tecteo_resa,,day,per_kwh,distribution_day,Coûts de distribution - Jour,,,0.1037735849,0.11,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
wal,tecteo_resa,,night,per_kwh,distribution_night,Coûts de distribution - Nuit,,,0.05688679245,0.0603,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
wal,tecteo_resa,,night_excl,per_kwh,distribution_night_excl,Coûts de distribution - Exclusif nuit,,,0.04952830189,0.0525,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
wal,tecteo_resa,,,per_kwh,transport,Coûts de transport,,,0.02556603774,0.0271,,, 2024-01-01, 2024-12-31
wal,tecteo_resa,,,annual,management,"Tarif gestion des données/
Activités de mesure et de
comptage/Terme fixe ",,,24.33018868,25.79,,, 2024-01-01, 2024-12-31
wal,tecteo_resa,,,annual_per_kw,prosumer,Tarif prosumer,,,66.66981132,70.67,,, 2024-01-01, 2024-12-31
wal,wavre,,simple,per_kwh,distribution_simple,Coûts de distribution - Simple,,,0.1023584906,0.1085,,, 2024-01-01, 2024-12-31
wal,wavre,,day,per_kwh,distribution_day,Coûts de distribution - Jour,,,0.1039622642,0.1102,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
wal,wavre,,night,per_kwh,distribution_night,Coûts de distribution - Nuit,,,0.08226415094,0.0872,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
wal,wavre,,night_excl,per_kwh,distribution_night_excl,Coûts de distribution - Exclusif nuit,,,0.08226415094,0.0872,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
wal,wavre,,,per_kwh,transport,Coûts de transport,,,0.02556603774,0.0271,,, 2024-01-01, 2024-12-31
wal,wavre,,,annual,management,"Tarif gestion des données/
Activités de mesure et de
comptage/Terme fixe ",,,16.35849057,17.34,,, 2024-01-01, 2024-12-31
wal,wavre,,,annual_per_kw,prosumer,Tarif prosumer,,,71.94339623,76.26,,, 2024-01-01, 2024-12-31
vl,,,,monthly,accise,Droit d accise spécial,,,0.04748018868,0.050329,,, 2024-01-01, 2024-12-31
wal,,,,monthly,accise,Droit d accise spécial,,,0.04748018868,0.050329,,, 2024-01-01, 2024-12-31
