distributor,counter_type,peak_enabled,day_time_type,rate_occurrence,cost_type,amount_eur,tax_pct,time_of_day_start,time_of_day_end,kw_from,kw_to,date_start,date_end,,,
sibelga,simple,,,annual,distribution,54.76,6,,,13,,2024-01-01,2024-12-31,if installed power  > 13kVA,,
sibelga,,,,per_kwh,road_fee,0.0082670,6,,,,,2024-01-01,2024-12-31,,,
sibelga,,,,per_kwh,corp_tax,0.0053860,6,,,,,2024-01-01,2024-12-31,,,
sibelga,,,,per_kwh,other_tax,0.00080400,6,,,,,2024-01-01,2024-12-31,,,
sibelga,,,,per_kwh,public_service,0.017092,6,,,,,2024-01-01,2024-12-31,,,
sibelga,,,,per_kwh,transport,0.01241190,6,,,,,2024-01-01,2024-12-31,,,
sibelga,,,,per_kwh,transport_surcharge,0.00058610,6,,,,,2024-01-01,2024-12-31,,,
sibelga,,,,monthly,accise,4.74801887,6,,,,,2024-01-01,2024-12-31,,4.748018868,5.03290
sibelga,,,,per_kwh,energy_contribution,0.00192642,6,,,,,2024-01-01,2024-12-31,,0.001926415094,0.0020420
sibelga,,,,per_kwh,green_certs,0.02669811,6,,,,,2024-01-01,2024-12-31,,0.02669811321,0.0283
